,population,capacity,capacity_within,population_within,load,provision
758,4676,0,0,1222439,,0.0
759,4119,0,0,1263370,,0.0
760,0,0,0,1441887,,
761,5507,0,0,973760,,0.0
762,312,0,0,1378897,,0.0
763,0,0,0,1414944,,
764,0,0,0,1432150,,
765,520,0,0,1403076,,0.0
766,666,0,0,1387373,,0.0
767,990,0,0,1280171,,0.0
768,1502,0,0,1317658,,0.0
769,370,0,0,1459160,,0.0
770,2153,0,0,1469408,,0.0
771,1001,0,0,1418682,,0.0
772,1119,0,0,1407963,,0.0
773,1553,0,0,1438068,,0.0
774,1334,0,0,1428683,,0.0
775,0,0,0,1376422,,
776,5236,0,0,1422879,,0.0
777,596,0,0,1339374,,0.0
778,2012,0,0,1323354,,0.0
779,3322,0,0,1280297,,0.0
780,1888,0,0,1397049,,0.0
781,369,0,0,1394787,,0.0
782,1056,0,0,1408901,,0.0
783,764,0,0,1434111,,0.0
784,598,0,0,1433997,,0.0
785,373,0,0,1425678,,0.0
786,1340,0,0,1418502,,0.0
787,404,0,0,1427275,,0.0
788,404,0,0,1427235,,0.0
789,304,0,0,1425511,,0.0
790,513,0,0,1423173,,0.0
791,0,0,0,1488420,,
792,0,0,0,1423604,,
793,766,0,0,1414246,,0.0
794,1228,0,0,1351681,,0.0
795,3555,0,0,1026105,,0.0
796,1616,0,0,1197375,,0.0
797,0,0,0,1394685,,
798,5072,0,0,1387704,,0.0
799,0,0,0,1401767,,
800,1190,0,0,1293462,,0.0
801,0,0,0,1462976,,
802,779,0,0,1395451,,0.0
803,565,0,0,1354404,,0.0
804,566,0,0,1377654,,0.0
805,1133,0,0,1363079,,0.0
806,412,0,0,1378723,,0.0
807,1280,0,0,1340794,,0.0
808,726,0,0,1377696,,0.0
809,848,0,0,1385380,,0.0
810,1669,0,0,1434976,,0.0
811,5036,0,0,1385420,,0.0
812,1258,0,0,1353463,,0.0
813,2239,0,0,1336030,,0.0
814,546,0,0,1349490,,0.0
815,905,0,0,1375662,,0.0
816,1532,0,0,1373382,,0.0
817,991,0,0,1371667,,0.0
818,142,0,0,1394293,,0.0
819,3845,0,0,1364142,,0.0
820,2282,0,0,1279626,,0.0
821,0,0,0,1264704,,
822,1791,130000,210210000,1403234,10.794107692307692,117370.18425460637
823,1402,0,0,1456666,,0.0
824,1244,0,0,1382262,,0.0
825,3015,0,0,1333352,,0.0
826,453,0,0,1388340,,0.0
827,1441,65000,97305000,1324786,20.381323076923078,67526.02359472589
828,1207,0,0,1243719,,0.0
829,3679,0,0,1311493,,0.0
830,0,0,0,1310483,,
831,0,0,0,1289377,,
832,0,0,0,1305255,,
833,704,0,0,1333278,,0.0
834,21,0,0,1352022,,0.0
835,21,0,0,1351392,,0.0
836,2058,0,0,1278312,,0.0
837,1300,0,0,1272309,,0.0
838,4082,0,0,1352634,,0.0
839,2127,0,0,1251947,,0.0
840,1600,0,0,1246690,,0.0
841,1975,0,0,1229052,,0.0
842,168,0,0,1267555,,0.0
843,148,0,0,1241963,,0.0
844,298,0,0,1281653,,0.0
845,876,0,0,1202522,,0.0
846,781,0,0,1253055,,0.0
847,126,0,0,1281927,,0.0
848,79,0,0,1243398,,0.0
849,0,0,0,285745,,
850,0,0,0,0,,
851,555,0,0,1299827,,0.0
852,0,0,0,920479,,
853,1824,0,0,1208863,,0.0
854,751,0,0,1126939,,0.0
855,3405,0,0,1024184,,0.0
856,1587,0,0,1117351,,0.0
857,0,0,0,918505,,
858,0,0,0,1200821,,
859,0,0,0,1088890,,
860,0,0,0,1282827,,
861,0,0,0,23636,,
862,0,0,0,18825,,
863,0,0,0,18825,,
864,0,0,0,18825,,
865,0,0,0,231049,,
866,0,0,0,894700,,
867,0,0,0,559326,,
868,0,0,0,1001615,,
869,0,0,0,75062,,
870,0,0,0,144847,,
871,0,0,0,103980,,
872,0,0,0,1218960,,
873,0,0,0,1121137,,
874,0,0,0,1075491,,
875,1225,0,0,1295136,,0.0
876,2,0,0,1268884,,0.0
877,0,0,0,1412468,,
878,0,0,0,1364276,,
879,0,0,0,1320206,,
880,1041,0,0,1331976,,0.0
881,2,0,0,1314130,,0.0
882,2117,0,0,1356339,,0.0
883,0,0,0,1400025,,
884,0,0,0,1309481,,
885,97,0,0,1310658,,0.0
886,380,0,0,1272535,,0.0
887,67,0,0,1289157,,0.0
888,51,0,0,1308175,,0.0
889,34,0,0,1392552,,0.0
890,0,0,0,1054293,,
891,0,0,0,1106544,,
892,195,0,0,1270250,,0.0
893,183,0,0,1235160,,0.0
894,200,0,0,1281734,,0.0
895,185,0,0,1359750,,0.0
896,110,0,0,1335447,,0.0
897,65,0,0,1329177,,0.0
898,117,0,0,1298889,,0.0
899,1403,0,0,1220154,,0.0
900,1723,0,0,1242196,,0.0
901,5039,0,0,1175480,,0.0
902,0,130000,187720000,1302125,10.016346153846154,
903,0,130000,187720000,1302125,10.016346153846154,
904,6716,0,0,1401893,,0.0
905,1530,0,0,1353794,,0.0
906,874,0,0,1315846,,0.0
907,993,0,0,1379015,,0.0
908,599,0,0,1294676,,0.0
909,3531,0,0,1301058,,0.0
910,385,0,0,1331943,,0.0
911,0,0,0,1258347,,
912,3878,0,0,1273587,,0.0
